Question,Answer,,
Can I bring my vehicle?,yes the <parking> is avaiable.,,
Where is your restaurant?,We are located at <location>.,,
Tell me what I’ve paid.,your bill is <bill>.,,
Can I see your menu?,Our menu includes items <menuitem>.,,
Can you give me your email?,You can contact us at <contact> or email <email>.,,
Can I connect to Wi-Fi?,<wifi>.,,
What is the name of your restaurant?,Our restaurant is called <name>.,,
Till what time are you open?,We are open from <hours>.,,
What’s your helpline?,You can contact us at <contact> or email <email>.,,
How can I find your restaurant?,We are located at <location>.,,
What's the name of this place?,Our restaurant is called <name>.,,
Are you open today?,We are open from <hours>.,,
Opening hours please?,We are open from <hours>.,,
What are your working hours?,We are open from <hours>.,,
Tell me your restaurant timings.,We are open from <hours>.,,
Do you take online orders?,"Yes, we provide that service. Please ask for details.",,
Where are you based?,We are located at <location>.,,
Do you allow party bookings?,"Yes, we provide that service. Please ask for details.",,
Tell me the price of Beef Burger.,Burger. costs Rs. <menu:Burger.>.,,
Do you offer parking service?,<parking>.,,
Are you open on holidays?,We are open from <hours>.,,
How long is delivery?,"Yes, we provide that service. Please ask for details.",,
Do you charge for parking?,<parking>.,,
Where are you located?,We are located at <location>.,,
What items are available?,Our menu includes items <menuitem>,,
Where can I visit you?,We are located at <location>.,,
How can I contact you?,You can contact us at <contact> or email <email>.,,
Fetch my order list.,Please share your username so I can check your orders and bill.,,
What have I ordered?,Please share your username so I can check your orders and bill.,,
Is parking available?,<parking>.,,
What is the cost of Veg Biryani?,Biryani costs Rs. <menu:Biryani>.,,
What does Pepsi cost?,cost costs Rs. <menu:cost>.,,
Cost of Chicken Biryani?,Biryani costs Rs. <menu:Biryani>.,,
Is there space for parking?,<parking>.,,
How much is Chicken Biryani?,Biryani costs Rs. <menu:Biryani>.,,
Free Wi-Fi available?,<wifi>.,,
What is your phone number?,You can contact us at <contact> or email <email>.,,
Can I host a party there?,"Yes, we provide that service. Please ask for details.",,
Rate of Chicken Pizza?,Pizza costs Rs. <menu:Pizza>.,,
How do I pay?,Please share your username so I can check your orders and bill.,,
Please tell me the name of your eatery.,Our restaurant is called <name>.,,
Can I park outside?,<parking>.,,
Do you have Wi-Fi?,<wifi>.,,
Do you serve kids’ meals?,"Yes, we provide that service. Please ask for details.",,
Tell me your dishes.,Our menu includes items <menuitem>.,,
Do you provide Wi-Fi service?,yes we can <wifi>.,,
Show my orders.,Please share your username so I can check your orders and bill.,,
How much is Water Bottle?,Bottle costs Rs. <menu:Bottle>.,,
Can guests access Wi-Fi?,<wifi>.,,
Where is your place situated?,We are located at <location>.,,
Your restaurant is called what?,Our restaurant is called <name>.,,
Do you offer free internet?,yes .<wifi>.,,
What's your location?,We are located at <location>.,,
How do I reach your restaurant?,You can contact us at <contact> or email <email>.,,
drinks do you offer?,Our menu includes items <menuitem>.,,
What is your business timing?,We are open from <hours>.,,
What's this restaurant called?,Our restaurant is called <name>.,,
What do I pay for Pepsi?,Pepsi costs Rs. <menu:Pepsi>.,,
What’s your contact number?,You can contact us at <contact> or email <email>.,,
Show my total amount.,Please share your username so I can check your orders and bill.,,
List your menu items.,Our menu includes items <menuitem>.,,
Can you tell me your restaurant's name?,Our restaurant is called <name>.,,
How much do I owe?,Please share your username so I can check your orders and bill.,,
Is your food halal?,"Yes, we provide that service. Please ask for details.",,
What food do you serve?,Our menu includes items <menuitem>.,,
Your contact info?,You can contact us at <contact> or email <email>.,,
What’s your physical address?,We are located at <location>.,,
Can I park my car there?,<parking>.,,
What meals are served?,Our menu includes items <menuitem>.,,
Do you take credit cards?,"Yes, we provide that service. Please ask for details.",,
Do you have vegetarian food?,"Yes, we provide that service. Please ask for details.",,
What time do you open and close?,We are open from <hours>.,,
I want directions to your restaurant.,We are located at <location>.,,
Is catering available?,"Yes, we provide that service. Please ask for details.",,
Is Wi-Fi available?,<wifi>.,,
kind of food do you have?,Our menu includes items <menuitem>.,,
Who are you?,Our restaurant is called <name>.,,
Price of Margherita Pizza?,Pizza costs Rs. <menu:Pizza>.,,
Do you deliver food?,"Yes, we provide that service. Please ask for details.",,
Can I email you?,You can contact us at <contact> or email <email>.,,
Give me your phone number please.,You can contact us at <contact> or email <email>.,,
I need your contact details.,You can contact us at <contact> or email <email>.,,
May I know the name of your restaurant?,Our restaurant is called <name>.,,
What is on your menu?,Our menu includes items <menuitem>.,,
Do you allow customers to use Wi-Fi?,<wifi>.,,
When do you close?,We are open from <hours>.,,
Can I use Wi-Fi there?,<wifi>.,,
What is your address?,We are located at <location>.,,
Do you have parking?,<parking>.,,
Can I see my bill?,Please share your username so I can check your orders and bill.,,
Where can I park near your place?,<parking>.,,
Have I paid already?,Please share your username so I can check your orders and bill.,,
What do people call this restaurant?,Our restaurant is called <name>.,,
Is customer parking allowed?,<parking>.,,
How much for a bottle of water?,water costs Rs. <menu:water>.,,
Do you have biryani and pizza?,Our menu includes items <menuitem>.,,
Give me my payment details.,Please share your username so I can check your orders and bill.,,
Is there internet access?,<wifi>.,,
What's your brand name?,Our restaurant is called <name>.,,
When are you open?,We are open from <hours>.,,
What are your most popular dishes?,"Our most popular items include <menu:Chicken Biryani>, <menu:Beef Burger>, and <menu:Margherita Pizza>.",,
Do you have a kids' menu?,"Yes, we offer a special <menu:kids_menu> with meals suitable for children.",,
Can I reserve a table in advance?,"Yes, table reservations are accepted. Please contact us at <contact>.",,
Do you offer dine-in service?,"Yes, we have both <service:dine-in> and <service:takeaway> options available.",,
What time does your kitchen close?,Our kitchen closes at <hours:closing_time>.,,
Do you have outdoor seating?,"Yes, we offer <facility:outdoor_seating> depending on the weather.",,
Is there a dress code?,There is no formal dress code. <policy:dress_code> is casual.,,
Can I order a birthday cake from you?,"Yes, we can arrange custom cakes for birthdays. Please call <contact> in advance.",,
Do you serve breakfast?,"Yes, we serve <menu:breakfast> from <hours:breakfast>.",,
What are your weekend hours?,Our weekend hours are <hours:weekend>.,,
Can I speak to the manager?,"Sure, please wait while I connect you to <staff:manager>.",,
Is there a waiting time on weekends?,"It may vary, but weekends are usually busy. A short wait is expected.",,
Do you have a loyalty program?,"Yes, we offer a <service:loyalty_program>. Ask our staff to sign up.",,
Can I order food without registering?,"Yes, <policy:guest_checkout> is available, but registered users get better service.",,
Are there any combo deals available?,"Yes, we offer <menu:combo_deals>. Please check today's specials.",,
Can I get extra sauce with my meal?,"Yes, we can include <menu:extra_sauce> on request.",,
Do you provide high chairs for kids?,"Yes, <facility:high_chairs> are available for small children.",,
Are pets allowed?,"Unfortunately, <policy:pets> are not allowed inside the restaurant.",,
Do you cater for corporate events?,"Yes, we provide <service:corporate_catering>. Please contact us for details.",,
Do you offer gluten-free options?,"Yes, some dishes are <menu:gluten_free>. Please ask our staff for suggestions.",,
Do you have vegan dishes?,"Yes, we offer a selection of <menu:vegan> meals.",,
Can I customize my order?,"Absolutely, you can request <service:custom_orders> when ordering.",,
Do you serve soup?,"Yes, we have several types of <menu:soup> available. Check the menu.",,
How many guests can you accommodate?,We can comfortably seat up to <info:capacity> guests.,,
Do you serve alcohol?,"No, <policy:alcohol> is not served at our restaurant.",,
Can I see the full menu?,"Sure, you can view our menu here: <link:menu_page>.",,
How can I pay my bill?,"You can pay using <payment:credit_card>, <payment:cash>, or <payment:online> methods.",,
Do you offer home delivery?,"Yes, we provide <service:home_delivery>. Enter your location on our website to check availability.",,
Where are you located?,We are located at <location:address>. Please check <link:map> for directions.,,
Do you offer discounts for students?,"Yes, we offer <discount:student_discount> with a valid student ID.",,
How can I track my order?,You can track your order through <link:order_tracking>.,,
Can I book a private room?,"Yes, we have <facility:private_rooms> available for events and meetings.",,
Do you have Wi-Fi available?,"Yes, we offer <facility:free_wifi> for our dine-in guests.",,
Is parking available?,"Yes, we provide <facility:parking_space> for our customers.",,
How do I cancel my reservation?,"To cancel a reservation, please contact <staff:reception> at <contact>.",,
Do you support contactless payments?,"Yes, we support <payment:contactless> options including NFC cards and digital wallets.",,
Do you offer buffet service?,"Yes, our <service:buffet> is available on weekends from <hours:buffet_time>.",,
Can I make a complaint?,We’re sorry to hear that. Please report your complaint to <staff:manager> or email us at <contact>.,,
Can I bring outside food?,<policy:outside_food> is not allowed for hygiene and safety reasons.,,
Is your kitchen halal certified?,"Yes, we follow <policy:halal_certified> practices in our kitchen.",,
Do you serve tea or coffee?,"Yes, we serve both <menu:tea> and <menu:coffee>. Check our beverage section.",,
Can I get a printed bill?,"Yes, we provide <service:printed_bill> on request.",,
Do you offer seasonal dishes?,"Yes, we feature <menu:seasonal_specials> based on availability.",,
Can I leave feedback about my experience?,We'd love to hear your thoughts. Leave feedback at <link:feedback_form>.,,
Is your restaurant wheelchair accessible?,"Yes, we offer <facility:wheelchair_accessible> entry and seating.",,
Do you offer daily specials?,"Yes, we feature <menu:daily_specials> that change every day. Ask our staff or check online.",,
How do I join your membership program?,You can join our <service:membership_program> via the website or by asking at the counter.,,
Can I get a printed copy of the menu?,"Yes, we can provide a <service:printed_menu> on request.",,
Are your ingredients locally sourced?,"Yes, we try to use <policy:local_ingredients> for better taste and sustainability.",,
Do you offer any low-calorie meals?,"Yes, our <menu:low_calorie_options> are great for health-conscious guests.",,
Can I pre-order food before arriving?,"Absolutely, you can use our <service:pre_order> option online or via phone.",,
What is the average cost per person?,The average meal costs around <info:average_price> per person.,,
Is your restaurant available on food apps?,"Yes, we're available on <platform:foodpanda>, <platform:ubereats>, and <platform:bykea>.",,
Do you offer party packages?,"Yes, we have customizable <service:party_packages> for groups and events.",,
Is there a service charge?,A <policy:service_charge> may apply to dine-in orders. Please check your bill.,,
Can I change the spice level of dishes?,"Yes, you can request <menu:spice_level> adjustments while ordering.",,
Do you provide takeaway containers?,"Yes, we provide <facility:takeaway_containers> for leftovers or takeout.",,
Can I get an allergen-free version of a dish?,"Yes, just let us know and we’ll try to provide a <policy:allergen_free> version.",,
Do you have photos of the menu items?,"Yes, you can view images of our dishes at <link:menu_gallery>.",,
Do you serve food all day?,"Yes, our <service:all_day_dining> is available from open till close.",,
How long does delivery take?,"Delivery typically takes <info:delivery_time>, depending on your location.",,
Can I host a small event here?,"Yes, we offer <service:event_booking> for birthdays, meetings, and more.",,
Is there a minimum order for delivery?,"Yes, the minimum order for delivery is <policy:minimum_order>.",,
Are gift cards available?,"Yes, we offer <service:gift_cards> in different denominations.",,
How can I apply for a job?,Job applications are accepted through <link:careers> or you can drop your resume at <location:counter>.,,
Can I see nutritional info for menu items?,"Yes, nutritional details are listed under <link:nutrition_guide> or available on request.",,
Do you accept credit cards?,"Yes, we accept all major cards including <policy:visa>, <policy:mastercard>, and <policy:amex>.",,
Can I request contactless delivery?,"Yes, we support <service:contactless_delivery> for your safety.",,
Do you have seasonal items?,"Yes, we feature <menu:seasonal_specials> that rotate throughout the year.",,
Are there special offers for students?,"Yes, students can avail discounts through our <policy:student_discount> program.",,
What are your lunch hours?,Our lunch hours are from <hours:lunch_start> to <hours:lunch_end>.,,
Do you serve brunch on Sundays?,"Yes, our <menu:brunch_menu> is served every Sunday from <hours:brunch>.",,
Can I book a private room?,"Yes, we offer <facility:private_rooms> for meetings and special events.",,
Is valet parking available?,"Yes, we provide <facility:valet_parking> at the main entrance.",,
Do you have Wi-Fi for customers?,"Yes, we offer <facility:free_wifi>. Just ask our staff for the password.",,
Can I track my delivery order?,"Yes, our <service:order_tracking> feature lets you track your delivery in real-time.",,
Do you offer cooking classes?,"Yes, we occasionally host <service:cooking_classes>. Check <link:events_page> for details.",,
Is there a buffet option?,"Yes, our <menu:buffet> is available during lunch hours on weekends.",,
Do you serve halal food?,"Yes, all our meats are <policy:halal_certified>.",,
Is your restaurant wheelchair accessible?,"Yes, we provide <facility:wheelchair_access> and accessible restrooms.",,
Can I leave a tip online?,"Yes, tipping can be added via <service:online_payment>.",,
Do you offer early bird discounts?,"Yes, we have <policy:early_bird_discount> available from <hours:early_bird>.",,
Can I split the bill?,"Yes, we support <service:split_bill> for group orders.",,
Are there dessert options?,"Yes, we serve <menu:desserts> like cakes, ice cream, and puddings.",,
Do you have a birthday offer?,"Yes, enjoy a free dessert with your meal on your birthday! <policy:birthday_offer>.",,
Can I get recommendations for today?,Sure! Our chef recommends trying <menu:chef_special> today.,,
Is this restaurant kid-friendly?,"Yes, we offer <facility:kid_friendly_environment> and <menu:kids_menu>.",,
Do you have soup of the day?,"Yes, our <menu:soup_of_the_day> is listed at the counter and updated daily.",,
Can I cancel my order?,"Yes, orders can be canceled within <policy:cancel_window>. Contact <contact>.",,
Is your meat organic?,"Yes, we use <policy:organic_meat> in our preparations.",,
Do you have mocktails?,"Yes, our <menu:mocktail_list> is a customer favorite!",,
Are your desserts egg-free?,Some <menu:eggless_desserts> are available. Please confirm with the server.,,
Can I pay via mobile wallet?,"Yes, we accept <platform:easy_paisa>, <platform:jazz_cash>, and <platform:sada_pay>.",,
Do you sell family meal boxes?,"Yes, we have <menu:family_meal_boxes> ideal for 3-5 people.",,
Do you offer pickup from the kitchen window?,"Yes, <service:window_pickup> is available for online orders.",,
Can I gift a meal to someone else?,"Yes, try our <service:gift_a_meal> option available on the app.",,
Do you provide bulk orders for offices?,"Yes, our <service:bulk_catering> is perfect for businesses.",,
Is there a minimum age for dine-in?,"No, <policy:minimum_age> is not enforced. All ages welcome.",,
How often do you update the menu?,Our <menu:main_menu> is updated seasonally and our <menu:daily_specials> change every day.,,
Do you serve late night snacks?,"Yes, our <menu:late_night_menu> is available until <hours:closing_time>.",,
Do you have staff trained in food allergies?,"Yes, our team is trained to handle <policy:food_allergy> concerns.",,
Do you have event packages?,"Yes, we offer <service:event_packages> for corporate and social gatherings.",,
Can I book for a group of 20?,"Yes, we accommodate <info:large_groups>. Advance notice is appreciated.",,
Is your food spicy?,We offer both <menu:spicy_dishes> and mild options to suit all tastes.,,
Can I check my bill online?,"Yes, you can view your bill on <link:billing_page> or through our app.",,
Do you have monthly meal plans?,"Yes, we offer <service:monthly_plans> for regular customers.",,
Can I add items after placing the order?,"Yes, items can be added via <service:modify_order> within 5 minutes of checkout.",,
Is it safe to dine in during flu season?,"Yes, we follow <policy:health_protocols> for a safe experience.",,
Can I schedule my delivery for later?,"Yes, we support <service:scheduled_delivery> up to 3 days in advance.",,
Do you serve buffet for dinner too?,"Yes, the <menu:buffet_dinner> is available on weekends.",,
Is takeaway faster than dine-in?,"Yes, our <service:quick_takeaway> is designed for speed and convenience.",,
Can I bring my own cake?,"Yes, outside cakes are allowed with a <policy:service_fee>.",,
Can I donate a meal?,"Yes, you can sponsor food through our <service:donation_program>.",,
Do you offer couple seating?,"Yes, we provide <facility:couple_booths> for more privacy.",,
Are you open on national holidays?,"Yes, our holiday hours are posted on <link:holiday_schedule>.",,
Can I choose my delivery time slot?,"Yes, during checkout, select a <service:delivery_slot> of your choice.",,
Do you charge for packaging?,A small <policy:packaging_fee> may apply to takeaway or delivery orders.,,
Do you offer kids birthday packages?,"Yes, our <service:kids_party_package> includes cake, decor, and meals.",,
Can I leave feedback?,"Yes, please share your experience via <link:feedback_form>.",,
Do you provide vegetarian options?,"Yes, our <menu:vegetarian_menu> has a wide variety of meals.",,
Are table bookings free?,"Yes, <service:table_booking> is absolutely free of charge.",,
Do you offer self-service?,"Yes, we have both <service:self_service> and table service options.",,
Do you sell beverages separately?,"Yes, <menu:drinks> can be ordered with or without meals.",,
Is the kitchen open for walk-ins?,"Yes, walk-in customers are always welcome during <hours:open_hours>.",,
Do you offer a tasting menu?,"Yes, try our <menu:tasting_menu> available for first-time visitors.",,
Are there fees for extra toppings?,"Yes, a small <policy:extra_toppings_fee> applies to certain add-ons.",,
Can I request a dish not on the menu?,"You can make a <service:special_request>, and we’ll try to accommodate it.",,
Do you provide candles for birthdays?,"Yes, we offer <facility:birthday_candles> with cakes upon request.",,
Can I pre-pay for someone else’s meal?,"Yes, we allow <service:prepaid_meal> gifts with a custom message.",,
Do you recycle your packaging?,"Yes, we use <policy:eco_friendly_packaging> that’s recyclable.",,
Can I get an invoice for my order?,"Yes, detailed <service:order_invoice> can be emailed or printed.",,
Do you offer chef specials every day?,"Yes, our <menu:chef_special> is freshly curated daily.",,
Are your online prices the same as in-store?,"Yes, we maintain <policy:price_parity> across platforms.",,
Do you have a lost and found?,"Yes, please contact <staff:reception> regarding lost items.",,
Can I pay half cash and half card?,"Yes, we support <service:split_payment> between payment methods.",,
Can I take home unfinished food?,"Yes, just ask for <facility:take_home_boxes> from the server.",,
Is your staff vaccinated?,"Yes, our staff is <policy:fully_vaccinated> for everyone’s safety.",,
Do you offer live music?,"Yes, enjoy <facility:live_music> on weekends from <hours:live_music>.",,
Is there a waiting list?,"Yes, join our <service:waitlist> during peak hours via the app or reception.",,
Can I get a refund for my order?,"For refunds, please contact <staff> at <contact> with your order details.",,
I don’t like your food. What can you do?,We apologize for your experience. Please share feedback at <link> or contact <staff>.,,
Why was my bill higher than expected?,Please share your username or order ID so I can check your bill details.,,
Your service is too slow. Why?,"We regret the delay. Our team is working to improve. For compensation, contact <staff>.",,
Tell me about my last order.,Please share your username so I can fetch your order history.,,
I was overcharged. Help!,Kindly provide your order ID for verification. We’ll resolve this at <contact>.,,
Can I dispute a payment?,"Yes, disputes can be raised at <link> or by emailing <email>.",,
Your food was cold. What now?,We’re sorry! Please contact <contact> with your order number for a replacement or refund.,,
Why did I get the wrong order?,"Apologies for the mix-up. Share your order ID, and we’ll rectify it immediately.",,
How do I delete my account?,Account deletion requests can be sent to <email> with ‘Delete Account’ as the subject.,,
I forgot my username. How to recover?,Username recovery is available at <link>. Enter your registered email.,,
Your Wi-Fi isn’t working. Fix it!,"We’ll resolve the Wi-Fi issue shortly. For updates, ask <staff>.",,
The parking area is full. Alternatives?,Nearby parking is available at <location>. We apologize for the inconvenience.,,
I’m allergic to what I just ate. Help!,Urgently inform <staff>. We’ll assist and note <policy> options for future orders.,,
Your menu says ‘spicy’ but it wasn’t.,"We’ll review this with our kitchen. For a remake, contact <staff>.",,
Can I speak to the chef about my dish?,Certainly! The chef is available at <staff> during <hours>.,,
Why is my delivery taking so long?,Delays may occur due to <info>. Track your order at <link>.,,
I want to cancel my reservation now.,Cancellations can be made via <link> or by calling <contact>.,,
Your app crashed during my order. What next?,"Try again or place your order at <link>. For refunds, email <email>.",,
The restroom is dirty. Address this!,We’ll clean it immediately. Thank you for alerting <staff>.,,
Do you have a complaint book?,"Yes, complaints can be logged at <staff> or via <link>.",,
My kid got hurt in your play area.,We’re sorry! Our <staff> is trained to assist. Please inform us immediately.,,
Your staff was rude to me.,We apologize. Please share details at <email> so we can take action.,,
I lost my wallet at your restaurant.,"Check with <staff>. For urgent help, call <contact>.",,
The music is too loud. Lower it!,"We’ll adjust the volume. For further requests, ask <staff>.",,
Can I get a copy of my receipt?,"Yes, your receipt can be emailed or printed. Request it at <staff>.",,
Your website shows outdated menu prices.,Thanks for flagging! We’ll update it. Current prices are at <link>.,,
I ordered vegetarian but got meat!,This is unacceptable. We’ll remake your order. Contact <staff> now.,,
Your delivery guy was unprofessional.,We’ll address this. Share details at <email> with ‘Delivery Feedback’ in the subject.,,
Why is there a service charge on my bill?,<policy> applies to dine-in orders for staff welfare. Details at <link>.,,
The table is wobbly. Fix it!,We’ll secure it right away. Inform <staff> for a table change.,,
Can I get a loyalty points breakdown?,Check your points balance at <link> or ask <staff>.,,
Your food made me sick. I need help!,"Seek medical help first, then contact <staff> with details for investigation.",,
I was double-charged. Resolve this!,Provide your transaction ID to <staff> for an instant refund.,,
The portion size is too small.,"We’ll review your feedback. For now, contact <staff> for a complimentary side.",,
Your app won’t accept my coupon.,Try entering the code manually at <link> or call <contact>.,,
The AC isn’t working. It’s too hot!,"We’ll adjust the temperature. For immediate relief, ask for <facility>.",,
Can I get a birthday discount?,Yes! Show your ID at <staff> to avail <policy>.,,
Your hygiene standards seem low.,We take this seriously. Share specifics at <email> for immediate action.,,
The waiter ignored my requests.,We apologize. Inform <staff> to ensure better service.,,
Do you compensate for bad experiences?,"Yes, we do. Contact <staff> with details for resolution.",,
I need my order history for taxes.,Download your order history at <link> or email <email>.,,
Your parking attendant was rude.,We’ll address this. Share the time/details at <link>.,,
The online order page is broken.,Try clearing your cache or use <link>. Report bugs to <email>.,,
Can I get a senior citizen discount?,Yes! Present your ID to avail <policy> at <staff>.,,
Your food tastes stale. Refund?,,We’ll replace it or refund. Contact <staff> with your order number.,
The cutlery was dirty. Disgusting!,We’ll replace it immediately and inspect our <policy>.,,
